filename,smiles
dsgdb9nsd_035176,N#C[C@H]1N[C@]12[C@@H]1C[C@H]2C1
dsgdb9nsd_131462,O=COc1nonc1O
dsgdb9nsd_073123,C[C@]12CC[C@H]1C[N@]1C[C@H]12
dsgdb9nsd_096811,C/N=C1\OC(=O)C[C@H]1N
dsgdb9nsd_100867,C[C@@H](CO)[C@H](C#N)CO
dsgdb9nsd_063330,CC1(C)CC(=O)OC1=N
dsgdb9nsd_089931,C[C@H]1N[C@@]2(C#N)CN[C@@H]12
dsgdb9nsd_121671,O=C(OCCO)N1CC1
dsgdb9nsd_025365,O=Cc1cn2c(n1)CC2
dsgdb9nsd_065999,N=C1OC[C@@]1(N)[C@H]1CN1
dsgdb9nsd_032619,C#Cc1cn(CC)cn1
dsgdb9nsd_044957,O=C1C[C@H]2COC[C@@H]1O2
dsgdb9nsd_055682,CC(=O)CC1(C)COC1
dsgdb9nsd_002902,O=CC1=NCCO1
dsgdb9nsd_033507,N#C[C@@]1(CC2CC2)CO1
dsgdb9nsd_075552,CC1=CCCN[C@H]1C#N
dsgdb9nsd_045491,O=C1N[C@H]2CC[C@@H]3[C@H]2N13
dsgdb9nsd_034268,N#C[C@@]12O[C@H]3CO[C@@H]1[C@H]32
dsgdb9nsd_128133,CNc1c(N)nnn1C
dsgdb9nsd_065741,O=CCC1(O)CC=CC1
dsgdb9nsd_074894,NC1=N[C@H]2C[C@H]2NC1=O
dsgdb9nsd_023714,Oc1ccc(F)cc1
dsgdb9nsd_124709,C[C@@H](CO)n1nnnn1
dsgdb9nsd_038452,C1CO[C@]2(C1)C[C@H]1N[C@H]12
dsgdb9nsd_066248,CC1([C@H]2CO2)OCCO1
dsgdb9nsd_009857,CC#CC[C@@]1(C)CN1
dsgdb9nsd_018782,O=C1[C@H]2C[C@H]3C[C@@H]1[C@H]32
dsgdb9nsd_046198,O=C1NC[C@]12[C@@H]1C[C@H]2O1
dsgdb9nsd_133275,C[N]C1=N[N]OC=C1F
dsgdb9nsd_071734,C[C@]12[C@@H]3[C@@H]4O[C@@]1(C)[C@H]2[C@@H]43
dsgdb9nsd_028641,Cc1ccc(C#N)cn1
dsgdb9nsd_039994,C1=N[C@@H]2CC3(CC3)[C@@H]2O1
dsgdb9nsd_016977,C1=C[C@@]23C[C@@H]1[C@H]2CO3
dsgdb9nsd_050922,N#C[C@H](NC=O)C1CC1
dsgdb9nsd_061527,C#C[C@H](O)CC1(C)CC1
dsgdb9nsd_123066,CCCCC/N=C/OC
dsgdb9nsd_079368,C[C@@H]1[C@@H]2[C@H]3C[C@]2(C#N)[C@@H]13
dsgdb9nsd_008591,O=C1O[C@]23C[C@H](C2)[C@@H]13
dsgdb9nsd_093969,C[C@H]1CCC(C=O)=C1N
dsgdb9nsd_027572,Cc1cccc(C#N)n1
dsgdb9nsd_077345,N#C[C@@H]1COC(=O)[C@H]1O
