reactant_smi,product_smi
C1(=CC=CC=C1)O.CN(C=O)C.[H-].[Na+].BrC1=CC=CC(=N1)OCC1=C(C=CC=C1C)N1N=NN(C1=O)C,CN1N=NN(C1=O)C1=C(C(=CC=C1)C)COC1=NC(=CC=C1)OC1=CC=CC=C1
C(C)(=O)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.Cl.C(O)([O-])=O.[Na+],O(C1=CC=CC=C1)N=C(C)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
BrC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.CNC1=CC=CC=C1.C(C)(C)(C)O[Na].C(C)(C)(C)P(C1=C(C=CC=C1)C1=CC=CC=C1)C(C)(C)C,CN(C1=CC=CC=C1)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
OC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.C(C1=CC=CC=C1)Br.C([O-])([O-])=O.[K+].[K+].C(C)#N,C(C1=CC=CC=C1)OC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
OCC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.BrC1=NC=CC=C1.CC(C)([O-])C.[K+].O1CCCC1,N1=C(C=CC=C1)OCC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
[Cl-].[Al+3].[Cl-].[Cl-].[N-]=[N+]=[N-].[Na+].ClC1=C(C(=CC=C1)N=C=O)C.Cl,CC1=C(C=CC=C1Cl)N1N=NNC1=O
CC1=C(C=CC=C1Cl)N1N=NNC1=O.CN(C=O)C.[H-].[Na+].CI,CC1=C(C=CC=C1Cl)N1N=NN(C1=O)C
CC1=C(C=CC=C1Cl)N1N=NN(C1=O)C.N(=NC1(CCCCC1)C#N)C1(CCCCC1)C#N.BrN1C(CCC1=O)=O.ClC1=CC=CC=C1,BrCC1=C(C=CC=C1Cl)N1N=NN(C1=O)C
NC=1C(=C(C=CC1)OC)C.ClC(Cl)(OC(OC(Cl)(Cl)Cl)=O)Cl,COC1=C(C(=CC=C1)N=C=O)C
[Cl-].[Al+3].[Cl-].[Cl-].[N-]=[N+]=[N-].[Na+].COC1=C(C(=CC=C1)N=C=O)C.Cl,CC1=C(C=CC=C1OC)N1N=NNC1=O
