filename,smiles
dsgdb9nsd_035176,N#C[C@H]1N[C@@]21[C@@H]1C[C@H]2C1
dsgdb9nsd_131462,Oc1nonc1OC=O
dsgdb9nsd_073123,C[C@]12CC[C@H]1C[N@@]1[C@H]2C1
dsgdb9nsd_096811,C/N=C/1\OC(=O)C[C@H]1N
dsgdb9nsd_100867,OC[C@H]([C@H](CO)C)C#N
dsgdb9nsd_063330,O=C1OC(=N)C(C1)(C)C
dsgdb9nsd_089931,C[C@H]1N[C@@]2([C@H]1NC2)C#N
dsgdb9nsd_121671,OCCOC(=O)N1CC1
dsgdb9nsd_025365,O=Cc1cn2c(n1)CC2
dsgdb9nsd_065999,N[C@]1(COC1=N)[C@H]1CN1
dsgdb9nsd_032619,CCn1cc(nc1)C#C
dsgdb9nsd_044957,O=C1C[C@@H]2O[C@H]1COC2
dsgdb9nsd_055682,CC(=O)CC1(C)COC1
dsgdb9nsd_002902,O=CC1=NCCO1
dsgdb9nsd_033507,N#C[C@@]1(OC1)CC1CC1
dsgdb9nsd_075552,CC1=CCCN[C@H]1C#N
dsgdb9nsd_045491,O=C1N[C@@H]2[C@@H]3N1[C@@H]3CC2
dsgdb9nsd_034268,N#C[C@]12O[C@@H]3[C@H]1[C@H]2OC3
dsgdb9nsd_128133,CNc1c(N)nnn1C
dsgdb9nsd_065741,O=CC[C@]1(O)CC=CC1
dsgdb9nsd_074894,O=C1N[C@@H]2C[C@@H]2N=C1N
dsgdb9nsd_023714,Oc1ccc(cc1)F
dsgdb9nsd_124709,OC[C@@H](n1nnnn1)C
dsgdb9nsd_038452,C1CO[C@]2(C1)C[C@@H]1[C@H]2N1
dsgdb9nsd_066248,CC1(OCCO1)[C@H]1CO1
dsgdb9nsd_009857,CC#CC[C@@]1(C)CN1
dsgdb9nsd_018782,O=C1[C@@H]2C[C@H]3[C@@H]2[C@@H]1C3
dsgdb9nsd_046198,O=C1NC[C@@]21[C@@H]1C[C@H]2O1
dsgdb9nsd_133275,C[N]C1=N[N]OC=C1F
dsgdb9nsd_071734,C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@]2(C)O4
dsgdb9nsd_028641,N#Cc1ccc(nc1)C
dsgdb9nsd_039994,O1C=N[C@H]2[C@@H]1C1(C2)CC1
dsgdb9nsd_016977,C1=C[C@@]23C[C@@H]1[C@H]2CO3
dsgdb9nsd_050922,O=CN[C@H](C1CC1)C#N
dsgdb9nsd_061527,O[C@H](CC1(C)CC1)C#C
dsgdb9nsd_123066,CCCCC/N=C/OC
dsgdb9nsd_079368,N#C[C@]12C[C@@H]3[C@H]1[C@H]([C@H]23)C
dsgdb9nsd_008591,O=C1O[C@]23[C@H]1[C@H](C2)C3
dsgdb9nsd_093969,O=CC1=C(N)[C@H](CC1)C
dsgdb9nsd_027572,N#Cc1cccc(n1)C
dsgdb9nsd_109750_new,C[NH2][C@@H]1[C@H]([C@@H]1O)C(=O)[O]
dsgdb9nsd_031310,COC1=[N]=CO[C]1C#N
dsgdb9nsd_077345,N#C[C@@H]1COC(=O)[C@H]1O
dsgdb9nsd_057095,C[C@@H](C#C)[C@H]1COCO1
dsgdb9nsd_078076,O=CN1[C@@H]2[C@H]1[C@H]([C@H]2O)O
dsgdb9nsd_122378,CCCO[C@@H]1[C@H]2[C@@H]1CC2
dsgdb9nsd_060639,C[C@H](C(=O)C)C1CCC1
dsgdb9nsd_067156,O=C1[C@@H]2C[C@H]3[C@@]2([C@@H]1C3)O
dsgdb9nsd_028899,Cc1c(C)cccc1C
dsgdb9nsd_021103,C[C]1N(C)[N]N=C1O
dsgdb9nsd_082864,O[C@@H]1[C@@H]2O[C@@H]3C[C@H]1[C@@H]3C2
dsgdb9nsd_047286,O=C1OCOC(=O)C=C1
dsgdb9nsd_114812,CC[C@H]1C[C@@H]2[C@@]1(O)CO2
dsgdb9nsd_068265,C[C@@]12C[C@@H](N1)[C@]2(O)C#N
dsgdb9nsd_059906,O=CNC(=O)CC(C)C
dsgdb9nsd_067630,O[C@]12[C@@H]3[C@H]4[C@@H]3[C@@]2([C@@H]1O4)C
dsgdb9nsd_021665,Nc1n[nH]nc1C#C
dsgdb9nsd_036319,C(C#N)[C@H]1C=C[C@@H]2[N@]1C2
dsgdb9nsd_068503,O=C[C@@H]1[C@@H]2N[C@]1(C2=O)C
dsgdb9nsd_031476,OCc1occ(c1)C#C
dsgdb9nsd_077423,C[C@@H]1[C@]2([C@]1(O)[C@@H]1[C@H]2N1)O
dsgdb9nsd_029239,Cc1c[nH]c(=O)oc1=N
dsgdb9nsd_078710,C[C@@H]1[C@H]2C=C[C@]3([C@@H]1[N@@]23)C
dsgdb9nsd_046826,C1[C@H]2[C@]1(C#N)C(=O)NC2
dsgdb9nsd_000873,Nc1ccc(o1)N
dsgdb9nsd_028127,Nc1cc2c(o1)C=CC2
dsgdb9nsd_030768,CCc1ccn(c1O)C
dsgdb9nsd_041191,O1C[C@@H]2C[C@]3(C1)[C@@H]2CC3
