name,molweight,critical temperature (K),acentric factor,boiling point (K)
mol_0,238.9681331101101,782.0523990815801,0.03723786392409314,508.8048646189345
mol_1,148.4971787330541,584.8638894854051,0.2749572249219084,423.34300418143584
mol_2,261.8214383760733,836.5131471516677,0.07741803430922505,560.6340643507488
mol_3,218.28936784602826,741.427927577093,0.09139602609454542,500.6491907451452
mol_4,55.42788392966537,329.77893522453,0.3793696878181261,282.3681014713177
mol_5,293.4180349419241,936.0098972455389,0.23575643494213994,630.8580889929815
mol_6,235.5077195373953,779.1619477656569,0.553111470092997,578.6928132239119
mol_7,242.23736242477753,801.5300016558798,0.19149389676484202,553.2437144896697
mol_8,64.59068082239739,357.9347506793237,0.43570807703034065,280.79455912407144
mol_9,151.60420323180313,567.9946917186384,0.27665965809294457,407.60408238486207
mol_10,130.11546654279692,532.565074384449,0.39597078067756725,382.2470253583531
mol_11,280.2265469891225,904.1421930953676,0.3598172140295942,651.6655407875036
mol_12,203.84358242177942,708.279746875651,0.2836703836553989,493.3170880211425
mol_13,252.1456355831241,823.9072139558809,0.5700366567746622,630.6097272494831
mol_14,149.7218336833794,586.2527446662484,0.2056281856529735,410.3093580130046
mol_15,91.35445488188977,424.84862354751164,0.10634130074956354,303.01627802658766
mol_16,179.7378924942754,644.7442719182994,0.40685643652789694,472.7361748948975
mol_17,47.23065914812734,319.6469983186402,0.5076045367847453,271.1246376220703
mol_18,253.46041643799717,859.0998413395557,0.024152243963954257,561.8410488976357
mol_19,200.5493877629575,681.2681262870757,0.2697796130536083,482.0536933841604
mol_20,234.68368982305094,798.2570779534576,0.5354926138123958,592.4339570083226
mol_21,125.72201139506446,485.9074610690896,0.4497711713537205,366.45483825873976
mol_22,292.0884665866239,933.480263839989,0.5950846298985769,683.7581212661429
mol_23,271.14270275699334,901.4829993066144,0.31884828695834627,624.7113198638463
mol_24,240.1635442099157,807.7388883917988,0.39599743128069076,601.74549424554
mol_25,82.55245112003125,408.94050397817506,0.18148816868275688,290.32693530568696
mol_26,156.01467100629924,581.629935483702,0.5685213597995954,466.73057607463426
mol_27,41.82701676255177,305.0332499137078,0.21980129313392177,225.2784967045868
mol_28,71.65816285823792,375.36446491454444,0.44310642761197716,303.13859570812235
mol_29,214.42321737546274,724.2683943196864,0.24188412247144914,492.44418907418617
mol_30,231.08578209511063,773.3663210056535,0.3370913580377996,544.7489480656811
mol_31,291.2276277572367,931.0447868024883,0.4318695210129277,665.934957728155
mol_32,117.97284669730102,483.42386071529296,0.30536049105081253,371.0734189355281
mol_33,130.0241206294146,512.9660742632661,0.5442517961457051,405.51911636997187
mol_34,156.78006904446815,571.5465210472878,0.25158059275668615,420.5405873474421
mol_35,81.15726695275714,408.7540427732263,0.3882430788859951,322.2900814974052
mol_36,65.07880644057734,370.87686503094926,0.20541745998003247,285.22092831668647
mol_37,158.44033008100212,599.5757318660532,0.2448940009386078,423.55600697000256
mol_38,91.26552424373871,442.64136800027677,0.2640300649401314,347.1240437510214
mol_39,210.84977856427778,728.4424609669053,0.07548421098737114,483.5000098340714
mol_40,148.0310180955293,575.9577092993096,0.05503420743540401,378.17871752669555
mol_41,254.8231129356161,841.6153437236037,0.40049395388805475,589.3939913552288
mol_42,219.07157754060725,746.3058435602451,0.39331064300583135,561.526748898583
mol_43,114.33899317315108,477.885155510933,0.39774582852605717,370.8265027425822
mol_44,254.71014637670427,869.9876551786393,0.011859867205615004,569.9578090662587
mol_45,247.2863765241365,811.4366766125386,0.19592810560306795,569.7255761821119
mol_46,134.6191623381471,526.5597401785611,0.11868590835551815,368.0240818981213
mol_47,107.84858806116591,476.13161750466634,0.4668908535264074,389.3277355069822
mol_48,214.27378607324337,739.4622814125335,0.516378240837678,532.9927809562843
mol_49,67.73317057451365,348.26105322212925,0.1480082263356884,244.76907724683983
mol_50,83.97521466827925,426.7782104891542,0.4007094953087918,324.53128207135916
