x,y
210.0,3.88
211.0,3.86
212.0,3.86
213.0,3.85
214.0,3.83
215.0,3.81
216.0,3.76
217.0,3.77
218.0,3.67
219.0,3.54
220.0,3.51
221.0,3.38
222.0,3.33
223.0,3.19
224.0,3.06
225.0,2.93
226.0,2.9
227.0,2.79
228.0,2.72
229.0,2.65
230.0,2.43
231.0,2.41
232.0,2.19
233.0,2.13
234.0,2.03
235.0,2.01
236.0,1.96
237.0,1.92
238.0,1.92
239.0,1.89
240.0,1.87
241.0,1.86
242.0,1.86
243.0,1.9
244.0,1.89
245.0,1.92
246.0,1.94
247.0,2.09
248.0,2.06
249.0,2.22
250.0,2.23
251.0,2.29
252.0,2.35
253.0,2.36
254.0,2.41
255.0,2.47
256.0,2.51
257.0,2.57
258.0,2.72
259.0,2.79
260.0,2.89
261.0,2.94
262.0,3.08
263.0,3.09
264.0,3.17
265.0,3.18
266.0,3.23
267.0,3.26
268.0,3.26
269.0,3.28
270.0,3.31
271.0,3.31
272.0,3.31
273.0,3.31
274.0,3.3
275.0,3.31
276.0,3.29
277.0,3.27
278.0,3.23
279.0,3.22
280.0,3.1
281.0,3.03
282.0,2.95
283.0,2.72
284.0,2.64
285.0,2.64
286.0,2.49
287.0,2.22
288.0,2.0
289.0,1.85
