FP (°C),compound_1,compound_2,smiles_1,smiles_2,fraction_1,fraction_2
5.7,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.995,0.005
0.8,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.990,0.010
-0.8,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.985,0.015
-4.5,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.982,0.018
-3.8,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.980,0.020
-5.5,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.973,0.027
-7.6,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.970,0.030
-8.0,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.960,0.040
-9.9,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.950,0.050
-11.9,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.938,0.062
-11.9,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.931,0.069
-11.6,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.900,0.100
-11.7,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.800,0.200
-11.6,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.700,0.300
-11.7,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.600,0.400
-11.5,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.500,0.500
-11.6,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.400,0.600
-11.7,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.300,0.700
-11.6,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.200,0.800
-11.3,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.100,0.900
-11.2,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.075,0.925
-9.0,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.050,0.950
-11.3,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.040,0.960
-10.3,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.030,0.970
-11.0,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.025,0.975
-9.9,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.020,0.980
-9.9,Methanol,iso-Octane,CO,CC(C)CC(C)(C)C,0.010,0.990
